dv,task,measure_description,retest_reliability,type,days,sample_size,reference,overall_difference,raw_fit,rt_acc,ddm_task,mturk
local_global_letter.acc,task,Proportion of correct choices (excluding no response trials) where correct choice means indicating the correct local or global letter depending on the color of the stimulus,0.17,Pearson,540,211,Ven et al. (2013),overall,raw,accuracy,1,0
local_global_letter.conflict_rt,task,Difference in median rt between incongruent and congruent trials (incongruent trials are those that have different local and global letters and congruent trials have the same),0.31,Pearson,9,55,Dale and Arnell (2013),difference,raw,rt,1,0
local_global_letter.conflict_rt,task,Difference in median rt between incongruent and congruent trials (incongruent trials are those that have different local and global letters and congruent trials have the same),0.27,Pearson,9,58,Dale and Arnell (2013),difference,raw,rt,1,0
local_global_letter.congruent_rt,task,Mean RT in congruent trials only,0.73,Pearson,9,55,Dale and Arnell (2013),condition,raw,rt,1,0
local_global_letter.congruent_rt,task,Mean RT in congruent trials only,0.83,Pearson,9,58,Dale and Arnell (2013),condition,raw,rt,1,0
local_global_letter.global_conflict_rt,task,Difference in incongruent and congruent RTs for global condition only,0,ICC,21,42,"Hedge, Powell and Sumner (2017)",condition,raw,rt,1,0
local_global_letter.global_congruent_errors,task,Errors in congruents trials of global condition,0.6,ICC,21,42,"Hedge, Powell and Sumner (2017)",condition,raw,accuracy,1,0
local_global_letter.global_congruent_rt,task,Mean RT in congruent trials of global condition only,0.63,ICC,21,42,"Hedge, Powell and Sumner (2017)",condition,raw,rt,1,0
local_global_letter.global_error_cost,task,Difference in RT between correct and incorrect trials for global condition,0.17,ICC,21,42,"Hedge, Powell and Sumner (2017)",difference,raw,rt,1,0
local_global_letter.global_incongruent_errors,task,Errors in incongruent trials of global condition only,0.71,ICC,21,42,"Hedge, Powell and Sumner (2017)",condition,raw,accuracy,1,0
local_global_letter.global_incongruent_rt,task,Mean RT in incongruent trials of global condition only,0.7,ICC,21,42,"Hedge, Powell and Sumner (2017)",condition,raw,rt,1,0
local_global_letter.incongruent_rt,task,Mean RT in incongruent trials only,0.66,Pearson,9,55,Dale and Arnell (2013),condition,raw,rt,1,0
local_global_letter.incongruent_rt,task,Mean RT in incongruent trials only,0.66,Pearson,9,58,Dale and Arnell (2013),condition,raw,rt,1,0
local_global_letter.local_conflict_rt,task,Difference in incongruent and congruent RTs for local condition only,0.14,ICC,21,42,"Hedge, Powell and Sumner (2017)",difference,raw,rt,1,0
local_global_letter.local_congruent_errors,task,Errors in congruents trials of local condition,0.56,ICC,21,42,"Hedge, Powell and Sumner (2017)",condition,raw,accuracy,1,0
local_global_letter.local_congruent_rt,task,Mean RT in congruent trials of local condition only,0.69,ICC,21,42,"Hedge, Powell and Sumner (2017)",condition,raw,rt,1,0
local_global_letter.local_error_cost,task,Difference in RT between correct and incorrect trials for local condition,0.82,ICC,21,42,"Hedge, Powell and Sumner (2017)",difference,raw,rt,1,0
local_global_letter.local_incongruent_errors,task,Errors in incongruent trials of local condition only,0.8,ICC,21,42,"Hedge, Powell and Sumner (2017)",condition,raw,accuracy,1,0
local_global_letter.local_incongruent_rt,task,Mean RT in incongruent trials of local condition only,0.68,ICC,21,42,"Hedge, Powell and Sumner (2017)",condition,raw,rt,1,0
probabilistic_selection.approach_trial_acc,task,Accuracy on approach trials only (those including the highest probability stimulus in the test phase),0.09,Pearson,50,90,"Baker, Stockwell and Holroyd (2013)",condition,raw,accuracy,0,0
probabilistic_selection.approach_trial_rt,task,Mean rt on approach trials only (those including the highest probability stimulus in the test phase),0.269,Pearson,50,90,"Baker, Stockwell and Holroyd (2013)",condition,raw,rt,0,0
probabilistic_selection.avoid_trial_acc,task,Accuracy on avoid trials only (those including the lowest probability stimulus in the test phase),-0.08,Pearson,50,90,"Baker, Stockwell and Holroyd (2013)",condition,raw,accuracy,0,0
probabilistic_selection.avoid_trial_rt,task,Mean rt avoid trials only (those including the lowest probability stimulus in the test phase),0.257,Pearson,50,90,"Baker, Stockwell and Holroyd (2013)",condition,raw,rt,0,0
psychological_refractory_period_two_choices.PRP_slowing,task,Difference between RTs following the second cue between the short and long delay conditions,0.47,Pearson,7,66,Bender et al. (2016),difference,raw,rt,0,0
ravens.score,task,Number of correct responses out of 18,0.86,Pearson,7,20,"Watts, Baddeley and Williams (1982)",overall,raw,accuracy,0,0
ravens.score,task,Number of correct responses out of 18,0.91,Pearson,7,20,"Watts, Baddeley and Williams (1982)",overall,raw,accuracy,0,0
ravens.score,task,Number of correct responses out of 18,0.82,Pearson,42,31,Calvert and Waterfall (1982),overall,raw,accuracy,0,0
ravens.score,task,Number of correct responses out of 18,1,Pearson,42,31,Calvert and Waterfall (1982),overall,raw,accuracy,0,0
ravens.score,task,Number of correct responses out of 18,0.84,Pearson,42,31,Calvert and Waterfall (1982),overall,raw,accuracy,0,0
ravens.score,task,Number of correct responses out of 18,0.96,Pearson,42,31,Calvert and Waterfall (1982),overall,raw,accuracy,0,0
ravens.score,task,Number of correct responses out of 18,0.83,Pearson,14,38,Bors and Stokes (1998),overall,raw,accuracy,0,0
ravens.score,task,Number of correct responses out of 18,0.87,Pearson,3600,217,Choudhury and Gorman (1999),overall,raw,accuracy,0,0
ravens.score,task,Number of correct responses out of 18,0.76,Pearson,7,71,Arthur et al. (1999),overall,raw,accuracy,0,0
ravens.score,task,Number of correct responses out of 18,0.84,Pearson,14,50,Costenbader and Ngari (2001),overall,raw,accuracy,0,0
ravens.score,task,Number of correct responses out of 18,0.85,Pearson,45,67,Bors and Vigneau (2003),overall,raw,accuracy,0,0
ravens.score,task,Number of correct responses out of 18,0.91,Pearson,45,67,Bors and Vigneau (2003),overall,raw,accuracy,0,0
ravens.score,task,Number of correct responses out of 18,0.952,Pearson,53,10,Williams and McCord (2006),overall,raw,accuracy,0,0
ravens.score,task,Number of correct responses out of 18,0.826,Pearson,53,11,Williams and McCord (2006),overall,raw,accuracy,0,0
ravens.score,task,Number of correct responses out of 18,0.594,Pearson,53,25,Williams and McCord (2006),overall,raw,accuracy,0,0
recent_probes.acc,task,Proportion of correct responses including hits and correct rejections (excluding no response trials) where correct means identifying whether the presented letter was in the memory set of six letter,0.39,Pearson,1,247,Caretta (1992),overall,raw,accuracy,1,0
recent_probes.acc,task,Proportion of correct responses including hits and correct rejections (excluding no response trials) where correct means identifying whether the presented letter was in the memory set of six letter,0.417,ICC,1,65,Jones et al. (2016),overall,raw,accuracy,1,0
recent_probes.acc,task,Proportion of correct responses including hits and correct rejections (excluding no response trials) where correct means identifying whether the presented letter was in the memory set of six letter,0.4,Pearson,21,55,Barrett et al. (1982),overall,raw,accuracy,1,0
recent_probes.avg_rt,task,Median response time for correct responses,0.88,Pearson,90,26,Smith and Langolf (1981),overall,raw,rt,1,0
recent_probes.avg_rt,task,Median response time for correct responses,0.79,Pearson,1,247,Caretta (1992),overall,raw,rt,1,0
recent_probes.avg_rt,task,Median response time for correct responses,0.51,Pearson,7,78,Roznowski and Smith (1993),overall,raw,rt,1,0
recent_probes.avg_rt,task,Median response time for correct responses,0.74,Pearson,7,78,Roznowski and Smith (1993),overall,raw,rt,1,0
recent_probes.avg_rt,task,Median response time for correct responses,0.71,Pearson,3600,217,Choudhury and Gorman (1999),overall,raw,rt,1,0
recent_probes.avg_rt,task,Median response time for correct responses,0.795,ICC,1,65,Jones et al. (2016),overall,raw,rt,1,0
shape_matching.negative_priming,task,Median RT for primed (where target was distractor in previous trial) - median RT for non-primed,0.348,Pearson,15,86,DeSchepper and Treisman (1996),overall,raw,rt,1,0
shape_matching.negative_priming,task,Median RT for primed (where target was distractor in previous trial) - median RT for non-primed,0.508,Pearson,15,86,DeSchepper and Treisman (1996),overall,raw,rt,1,0
shift_task.acc,task,Proportion of correct responses (excluding no response trials) where correct means choosing the shape with the feature that will be rewarded,0.34,Spearman,12,29,Ingram et al. (1999),overall,raw,accuracy,0,0
shift_task.conceptual_responses,task,The total number of consecutive correct responses in a sequence of 3 or more,0.58,Pearson,360,87,"Paolo, Axelrod and Tröster (1996)",overall,raw,,0,0
shift_task.conceptual_responses,task,The total number of consecutive correct responses in a sequence of 3 or more,0.45,Spearman,12,29,Ingram et al. (1999),overall,raw,,0,0
shift_task.conceptual_responses,task,The total number of consecutive correct responses in a sequence of 3 or more,0.8,Pearson,462,66,Greve et al. (2012),overall,raw,,0,0
shift_task.conceptual_responses,task,The total number of consecutive correct responses in a sequence of 3 or more,0.81,Pearson,462,66,Greve et al. (2012),overall,raw,,0,0
shift_task.fail_to_maintain_set,task,"Number of sequences of 5 correct responses or more, followed by an error, before attaining the 10 necessary for a set change",0.13,Kendall's Tau,360,87,"Paolo, Axelrod and Tröster (1996)",overall,raw,,0,0
shift_task.fail_to_maintain_set,task,"Number of sequences of 5 correct responses or more, followed by an error, before attaining the 10 necessary for a set change",0.5,Spearman,12,29,Ingram et al. (1999),overall,raw,,0,0
shift_task.fail_to_maintain_set,task,"Number of sequences of 5 correct responses or more, followed by an error, before attaining the 10 necessary for a set change",0.31,Spearman,510,54,"Tröster, Woods and Morgan (2007)",overall,raw,,0,0
shift_task.learning_to_learn,task,"Average tendency over successive categories for efficiency to change. Operationalizing as the slope number of trials it takes per category over which category it is (first, second etc.).",0.12,Kendall's Tau,360,87,"Paolo, Axelrod and Tröster (1996)",overall,fit,,0,0
shift_task.learning_to_learn,task,"Average tendency over successive categories for efficiency to change. Operationalizing as the slope number of trials it takes per category over which category it is (first, second etc.).",0.61,Spearman,12,29,Ingram et al. (1999),overall,fit,,0,0
shift_task.nonperseverative_errors,task,Number of errors that are not from responding to the previously rewarded category,0.55,Pearson,360,87,"Paolo, Axelrod and Tröster (1996)",overall,raw,accuracy,0,0
shift_task.nonperseverative_errors,task,Number of errors that are not from responding to the previously rewarded category,0.8,Spearman,12,29,Ingram et al. (1999),overall,raw,accuracy,0,0
shift_task.nonperseverative_errors,task,Number of errors that are not from responding to the previously rewarded category,0.39,Pearson,462,66,Greve et al. (2012),overall,raw,accuracy,0,0
shift_task.nonperseverative_errors,task,Number of errors that are not from responding to the previously rewarded category,0.46,Pearson,462,66,Greve et al. (2012),overall,raw,accuracy,0,0
shift_task.perseverative_errors,task,Number of errors that are from responding to the previously rewarded category,0.93,ICC,720,17,Ozonoff (1995),overall,raw,accuracy,0,0
shift_task.perseverative_errors,task,Number of errors that are from responding to the previously rewarded category,0.94,ICC,720,17,Ozonoff (1995),overall,raw,accuracy,0,0
shift_task.perseverative_errors,task,Number of errors that are from responding to the previously rewarded category,0.65,Pearson,360,87,"Paolo, Axelrod and Tröster (1996)",overall,raw,accuracy,0,0
shift_task.perseverative_errors,task,Number of errors that are from responding to the previously rewarded category,0.83,Spearman,12,29,Ingram et al. (1999),overall,raw,accuracy,0,0
shift_task.perseverative_errors,task,Number of errors that are from responding to the previously rewarded category,0.67,Pearson,462,66,Greve et al. (2012),overall,raw,accuracy,0,0
shift_task.perseverative_errors,task,Number of errors that are from responding to the previously rewarded category,0.45,Pearson,462,66,Greve et al. (2012),overall,raw,accuracy,0,0
shift_task.perseverative_errors,task,Number of errors that are from responding to the previously rewarded category,0.38,Pearson,30,90,Bird et al. (2004),overall,raw,accuracy,0,0
shift_task.perseverative_errors,task,Number of errors that are from responding to the previously rewarded category,0.52,Pearson,56,41,Harvey et al. (2005),overall,raw,accuracy,0,0
shift_task.perseverative_errors,task,Number of errors that are from responding to the previously rewarded category,0.63,Spearman,510,54,"Tröster, Woods and Morgan (2007)",overall,raw,accuracy,0,0
shift_task.perseverative_responses,task,Number of responses where the previously rewarded category is selected,0.63,Pearson,360,87,"Paolo, Axelrod and Tröster (1996)",overall,raw,,0,0
shift_task.perseverative_responses,task,Number of responses where the previously rewarded category is selected,0.79,Spearman,12,29,Ingram et al. (1999),overall,raw,,0,0
shift_task.perseverative_responses,task,Number of responses where the previously rewarded category is selected,0.66,Pearson,462,66,Greve et al. (2012),overall,raw,,0,0
shift_task.perseverative_responses,task,Number of responses where the previously rewarded category is selected,0.49,Pearson,462,66,Greve et al. (2012),overall,raw,,0,0
shift_task.perseverative_responses,task,Number of responses where the previously rewarded category is selected,0.38,Pearson,360,57,Woods et al. (2006),overall,raw,,0,0
shift_task.total_errors,task,Number of incorrect responses,0.94,ICC,720,17,Ozonoff (1995),overall,raw,accuracy,0,0
shift_task.total_errors,task,Number of incorrect responses,0.79,Spearman,12,29,Ingram et al. (1999),overall,raw,accuracy,0,0
shift_task.total_errors,task,Number of incorrect responses,0.34,Pearson,30,90,Bird et al. (2004),overall,raw,accuracy,0,0
shift_task.total_errors,task,Number of incorrect responses,0.9,ICC,720,17,Ozonoff (1995),overall,raw,accuracy,0,0
shift_task.total_errors,task,Number of incorrect responses,0.66,Pearson,360,87,"Paolo, Axelrod and Tröster (1996)",overall,raw,accuracy,0,0
shift_task.total_errors,task,Number of incorrect responses,0.78,Pearson,462,66,Greve et al. (2012),overall,raw,accuracy,0,0
shift_task.total_errors,task,Number of incorrect responses,0.78,Pearson,462,66,Greve et al. (2012),overall,raw,accuracy,0,0
simon.congruent_acc,task,Accuracy on trials where the side of the screen the stimulus appeared matched the response button,0.68,ICC,66.5,23,Wöstmann et al. (2013),overall,raw,accuracy,1,0
simon.incongruent_acc,task,Accuracy on trials where the side of the screen the stimulus appeared did not match the response button,0.85,ICC,66.5,23,Wöstmann et al. (2013),overall,raw,accuracy,1,0
simon.acc,task,Proportion of correct responses (excluding non-response trials) where correct means pressing the correct button for the correct color regardless of where it appears on the screen,0.15,Pearson,540,208,Ven et al. (2013),overall,raw,accuracy,1,0
simon.congruent_avg_rt,task,Median response time on trials where the side of the screen the stimulus appeared matched the response button,0.94,ICC,66.5,23,Wöstmann et al. (2013),condition,raw,rt,1,0
simon.congruent_avg_rt,task,Median response time on trials where the side of the screen the stimulus appeared matched the response button,0.714,Pearson,7,75,Paap and Sawi (2016),condition,raw,rt,1,0
simon.incongruent_avg_rt,task,Median response time on trials where the side of the screen the stimulus appeared did not match the response button,0.96,ICC,66.5,23,Wöstmann et al. (2013),condition,raw,rt,1,0
simon.incongruent_avg_rt,task,Median response time on trials where the side of the screen the stimulus appeared did not match the response button,0.719,Pearson,7,75,Paap and Sawi (2016),condition,raw,rt,1,0
simon.congruent_sd_rt,task,Standard deviation of response time on trials where the side of the screen the stimulus appeared matched the response button,0.9,ICC,66.5,23,Wöstmann et al. (2013),condition,raw,rt,1,0
simon.incongruent_sd_rt,task,Standard deviation of response times on trials where the side of the screen the stimulus appeared did not match the response button,0.81,ICC,66.5,23,Wöstmann et al. (2013),condition,raw,rt,1,0
simon.simon_acc,task,Difference in proportion of correct responses between incongruent (trials where response should be left and response is on right) and congruent trials (trials where the response should be left and the stimulus is on left),0.1,Pearson,7,37,De Jong et al. (2003),difference,raw,accuracy,1,0
simon.simon_acc,task,Difference in proportion of correct responses between incongruent (trials where response should be left and response is on right) and congruent trials (trials where the response should be left and the stimulus is on left),0.77,ICC,66.5,23,Wöstmann et al. (2013),difference,raw,accuracy,1,0
simon.simon_acc,task,Difference in proportion of correct responses between incongruent (trials where response should be left and response is on right) and congruent trials (trials where the response should be left and the stimulus is on left),0.62,Pearson,56,25,Linck and Weiss (2015),difference,raw,accuracy,1,0
simon.simon_rt,task,Difference in median response time in correct responses between incongruent (trials where response should be left and response is on right) and congruent trials (trials where the response should be left and the stimulus is on left),0.89,ICC,66.5,23,Wöstmann et al. (2013),difference,raw,accuracy,1,0
simon.simon_rt,task,Difference in median response time in correct responses between incongruent (trials where response should be left and response is on right) and congruent trials (trials where the response should be left and the stimulus is on left),0.428,Pearson,7,75,Paap and Sawi (2016),difference,raw,accuracy,1,0
simple_reaction_time.avg_rt,task,Median response time (excluding no response trials),0.59,Pearson,1,16,Kennedy et al. (1989),"overall, raw, rt",raw,rt,1,0
simple_reaction_time.avg_rt,task,Median response time (excluding no response trials),0.73,Pearson,3600,217,Choudhury and Gorman (1999),overall,raw,rt,0,0
simple_reaction_time.avg_rt,task,Median response time (excluding no response trials),0.46,Pearson,1,103,Collie et al. (2003),overall,raw,rt,0,0
simple_reaction_time.avg_rt,task,Median response time (excluding no response trials),0.77,Pearson,1,103,Collie et al. (2003),overall,raw,rt,0,0
simple_reaction_time.avg_rt,task,Median response time (excluding no response trials),0.7,Pearson,14,175,Erlanger et al. (2003),overall,raw,rt,0,0
simple_reaction_time.avg_rt,task,Median response time (excluding no response trials),0.8,ICC,14,18,Lemay et al. (2004),overall,raw,rt,0,0
simple_reaction_time.avg_rt,task,Median response time (excluding no response trials),0.73,ICC,7,45,Falleti et al. (2007),overall,raw,rt,0,0
simple_reaction_time.avg_rt,task,Median response time (excluding no response trials),0.94,ICC,1,45,Falleti et al. (2007),overall,raw,rt,0,0
simple_reaction_time.avg_rt,task,Median response time (excluding no response trials),0.6,ICC,30,50,Cole et al. (2013),overall,raw,rt,0,0
simple_reaction_time.avg_rt,task,Median response time (excluding no response trials),0.4,ICC,30,50,Cole et al. (2013),overall,raw,rt,0,0
simple_reaction_time.avg_rt,task,Median response time (excluding no response trials),0.825,ICC,1,95,Jones et al. (2016),overall,raw,rt,0,0
simple_reaction_time.avg_rt,task,Median response time for correct responses,0.64,Pearson,1,20,"Deary, Liewald and Nissan (2011)","overall, raw, rt",raw,rt,1,0
spatial_span.forward_span,task,Average number of locations remembered in order of appearance after dropping the first four trials,0.7,Pearson,9,1122,Orsini (1994),condition,raw,,0,0
spatial_span.forward_span,task,Average number of locations remembered in order of appearance after dropping the first four trials,0.79,Pearson,9,1122,Orsini (1994),condition,raw,,0,0
spatial_span.forward_span,task,Average number of locations remembered in order of appearance after dropping the first four trials,0.6,Pearson,90,145,"Baddeley, Gardner and Grantham-McGregor (1995)",condition,raw,,0,0
spatial_span.forward_span,task,Average number of locations remembered in order of appearance after dropping the first four trials,0.64,Pearson,30,162,Lowe and Rabbitt (1998),condition,raw,,0,0
spatial_span.forward_span,task,Average number of locations remembered in order of appearance after dropping the first four trials,0.7,Pearson,45,10,Cho et al. (2002),condition,raw,,0,0
spatial_span.forward_span,task,Average number of locations remembered in order of appearance after dropping the first four trials,0.45,Pearson,7,45,Sternberg et al. (2002),condition,raw,,0,0
spatial_span.forward_span,task,Average number of locations remembered in order of appearance after dropping the first four trials,0.85,Pearson,14,104,Saggino et al. (2004),condition,raw,,0,0
spatial_span.forward_span,task,Average number of locations remembered in order of appearance after dropping the first four trials,0.75,Pearson,14,99,Saggino et al. (2004),condition,raw,,0,0
spatial_span.forward_span,task,Average number of locations remembered in order of appearance after dropping the first four trials,0.59,Pearson,28,21,Williams et al. (2005),condition,raw,,0,0
spatial_span.forward_span,task,Average number of locations remembered in order of appearance after dropping the first four trials,0.51,ICC,30,64,Fisher et al. (2011),condition,raw,,0,0
spatial_span.forward_span,task,Average number of locations remembered in order of appearance after dropping the first four trials,0.72,Pearson,49,141,Lo et al. (2012),condition,raw,,0,0
spatial_span.forward_span,task,Average number of locations remembered in order of appearance after dropping the first four trials,0.7,Pearson,49,156,Lo et al. (2012),condition,raw,,0,0
spatial_span.forward_span,task,Average number of locations remembered in order of appearance after dropping the first four trials,0.64,Pearson,1080,200,Lo et al. (2012),condition,raw,,0,0
spatial_span.forward_span,task,Average number of locations remembered in order of appearance after dropping the first four trials,0.66,Pearson,1080,200,Lo et al. (2012),condition,raw,,0,0
stop_signal.stop_acc,task,Proportion of correct trials in stop trials,0.79,Pearson,107,31,"Kindlon, Mezzacappa and Earls (1995)",condition,raw,accuracy,1,0
stop_signal.stop_acc,task,Proportion of correct trials in stop trials,0.52,ICC,14,18,Kunsti et al. (2001),condition,raw,accuracy,1,0
stop_signal.go_rt_std_error,task,Standard error of response times in successful go trials,0.66,Pearson,107,31,"Kindlon, Mezzacappa and Earls (1995)",condition,raw,rt,1,0
stop_signal.go_rt,task,Median response times in successful go trials,0.35,ICC,14,18,Kunsti et al. (2001),condition,raw,rt,1,0
stop_signal.go_rt,task,Median response times in successful go trials,0.62,ICC,7,12,Soreni et al. (2009),condition,raw,rt,1,0
stop_signal.go_rt,task,Median response times in successful go trials,0.92,ICC,66,23,Wöstman et al. (2013),condition,raw,rt,1,0
stop_signal.go_rt,task,Median response times in successful go trials,0.42,ICC,360,312,Grummitt et al. ,condition,raw,rt,1,0
stop_signal.go_rt,task,Median response times in successful go trials,0.35,ICC,21,45,"Hedge, Powell and Sumner (2017)",condition,raw,rt,1,0
stop_signal.go_rt,task,Median response times in successful go trials,0.57,ICC,21,54,"Hedge, Powell and Sumner (2017)",condition,raw,rt,1,0
stop_signal.commission_errors,task,Proportion of stop trials subjects respond in,0.61,Pearson,107,31,"Kindlon, Mezzacappa and Earls (1995)",condition,raw,accuracy,1,0
stop_signal.commission_errors,task,Proportion of stop trials subjects respond in,0.22,ICC,14,18,Kunsti et al. (2001),condition,raw,accuracy,1,0
stop_signal.inhibition_slope,task,Slope of the logistic regression where correct responses are regressed over stop signal delays for stop trials,0.72,Pearson,107,31,"Kindlon, Mezzacappa and Earls (1995)",condition,fit,,1,0
stop_signal.inhibition_slope,task,Slope of the logistic regression where correct responses are regressed over stop signal delays for stop trials,0.29,ICC,14,18,Kunsti et al. (2001),condition,fit,,1,0
stop_signal.omission_errors,task,Proportion of go trials subjects do not respond in,0.37,ICC,14,18,Kunsti et al. (2001),condition,raw,accuracy,1,0
stop_signal.go_rt_std_error,task,Standard error of response times in successful go trials,0.64,ICC,14,18,Kunsti et al. (2001),condition,raw,rt,1,0
stop_signal.go_rt_std_error,task,Standard error of response times in successful go trials,0.74,ICC,7,12,Soreni et al. (2009),condition,raw,rt,1,0
stop_signal.SSRT,task,Go RT at the percentile specified by the percentage of commission errors,0.11,ICC,14,18,Kunsti et al. (2001),overall,raw,rt,1,0
stop_signal.SSRT,task,Go RT at the percentile specified by the percentage of commission errors,0.72,ICC,7,12,Soreni et al. (2009),overall,raw,rt,1,0
stop_signal.SSRT,task,Go RT at the percentile specified by the percentage of commission errors,0.29,ICC,66,23,Wöstman et al. (2013),overall,raw,rt,1,0
stop_signal.SSRT,task,Go RT at the percentile specified by the percentage of commission errors,0.6,Pearson,7,66,Bender et al. (2016),overall,raw,rt,1,0
stop_signal.SSRT,task,Go RT at the percentile specified by the percentage of commission errors,0.47,ICC,21,45,"Hedge, Powell and Sumner (2017)",overall,raw,rt,1,0
stop_signal.SSRT,task,Go RT at the percentile specified by the percentage of commission errors,0.43,ICC,21,54,"Hedge, Powell and Sumner (2017)",overall,raw,rt,1,0
stop_signal.SSRT,task,Go RT at the percentile specified by the percentage of commission errors,0.36,ICC,21,45,"Hedge, Powell and Sumner (2017)",overall,raw,rt,1,0
stop_signal.SSRT,task,Go RT at the percentile specified by the percentage of commission errors,0.49,ICC,21,54,"Hedge, Powell and Sumner (2017)",overall,raw,rt,1,0
stop_signal.stop_rt_error,task,Median response times for comission error trials,0.65,Pearson,9,121,Weafer et al. (2013),condition,raw,rt,1,0
stop_signal.stop_rt_error,task,Median response times for comission error trials,0.92,ICC,66,23,Wöstman et al. (2013),condition,raw,rt,1,0
stop_signal.stop_rt_error,task,Median response times for comission error trials,0.34,ICC,21,45,"Hedge, Powell and Sumner (2017)",condition,raw,rt,1,0
stop_signal.stop_rt_error,task,Median response times for comission error trials,0.54,ICC,21,54,"Hedge, Powell and Sumner (2017)",condition,raw,rt,1,0
stop_signal.stop_acc,task,Proportion of correctlt stopped stop trials,0.62,ICC,360,312,Grummitt et al. ,condition,raw,accuracy,1,0
stop_signal.total_errors,task,Proportion of errors (including commission and omission errors),0.41,ICC,14,18,Kunsti et al. (2001),overall,raw,accuracy,1,0
stroop.avg_rt,task,Median response time for correct responses,0.7,Pearson,28,21,Williams et al. (2005),overall,raw,rt,1,0
stroop.acc,task,Proportion of correct responses in all trials,0.8,Pearson,107,27,"Kindlon, Mezzacappa and Earls (1995)",overall,raw,accuracy,1,0
stroop.errors,task,Number of errors in all trials,0.28,Pearson,107,27,"Kindlon, Mezzacappa and Earls (1995)",overall,raw,accuracy,1,0
stroop.congruent_errors,task,Number of errors in trials where the print color and the word match,0.36,ICC,21,47,"Hedge, Powell and Sumner (2017)",condition,raw,accuracy,1,0
stroop.congruent_errors,task,Number of errors in trials where the print color and the word match,0.42,ICC,21,56,"Hedge, Powell and Sumner (2017)",condition,raw,accuracy,1,0
stroop.congruent_rt,task,Median response time in trials where the print color and the word match,0.71,Pearson,7,28,Strauss et al. (2005),condition,raw,rt,1,0
stroop.congruent_rt,task,Median response time in trials where the print color and the word match,0.77,ICC,21,47,"Hedge, Powell and Sumner (2017)",condition,raw,rt,1,0
stroop.congruent_rt,task,Median response time in trials where the print color and the word match,0.72,ICC,21,56,"Hedge, Powell and Sumner (2017)",condition,raw,rt,1,0
stroop.incongruent_errors,task,Number of errors in trials where the print color and the word do not match,0.62,ICC,21,47,"Hedge, Powell and Sumner (2017)",condition,raw,accuracy,1,0
stroop.incongruent_errors,task,Number of errors in trials where the print color and the word do not match,0.39,ICC,21,56,"Hedge, Powell and Sumner (2017)",condition,raw,accuracy,1,0
stroop.incongruent_rt,task,Median response time in trials where the print color and the word do not match,0.79,Pearson,7,28,Strauss et al. (2005),condition,raw,rt,1,0
stroop.incongruent_rt,task,Median response time in trials where the print color and the word do not match,0.67,ICC,21,47,"Hedge, Powell and Sumner (2017)",condition,raw,rt,1,0
stroop.incongruent_rt,task,Median response time in trials where the print color and the word do not match,0.7,ICC,21,56,"Hedge, Powell and Sumner (2017)",condition,raw,rt,1,0
stroop.stroop_acc,task,Difference in proportion of correct responses between incongruent (where word color does not match the word) and congruent trials (where word color does match the word),0.67,Pearson,107,27,"Kindlon, Mezzacappa and Earls (1995)",difference,raw,accuracy,1,0
stroop.stroop_acc,task,Difference in proportion of correct responses between incongruent (where word color does not match the word) and congruent trials (where word color does match the word),0.81,ICC,180,26,Neyens and Aldenkamp (1997),difference,raw,accuracy,1,0
stroop.stroop_acc,task,Difference in proportion of correct responses between incongruent (where word color does not match the word) and congruent trials (where word color does match the word),0.48,ICC,21,47,"Hedge, Powell and Sumner (2017)",difference,raw,accuracy,1,0
stroop.stroop_acc,task,Difference in proportion of correct responses between incongruent (where word color does not match the word) and congruent trials (where word color does match the word),0.44,ICC,21,56,"Hedge, Powell and Sumner (2017)",difference,raw,accuracy,1,0
stroop.stroop_rt,task,Difference in median response times in correct trials between incongruent (where word color does not match the word) and congruent trials (where word color does match the word),0.68,Pearson,1,45,Siegrist (1997),difference,raw,rt,1,0
stroop.stroop_rt,task,Difference in median response times in correct trials between incongruent (where word color does not match the word) and congruent trials (where word color does match the word),0.46,Pearson,7,28,Strauss et al. (2005),difference,raw,rt,1,0
stroop.stroop_rt,task,Difference in median response times in correct trials between incongruent (where word color does not match the word) and congruent trials (where word color does match the word),0.6,ICC,21,47,"Hedge, Powell and Sumner (2017)",difference,raw,rt,1,0
stroop.stroop_rt,task,Difference in median response times in correct trials between incongruent (where word color does not match the word) and congruent trials (where word color does match the word),0.66,ICC,21,56,"Hedge, Powell and Sumner (2017)",difference,raw,rt,1,0
stroop.stroop_rt,task,Difference in median response times in correct trials between incongruent (where word color does not match the word) and congruent trials (where word color does match the word),0.57,Pearson,7,66,Bender et al. (2016),difference,raw,rt,1,0
tower_of_london.avg_move_time,task,Average time to take action on correct trials,0.475,ICC,7,27,Köstering et al. (2015),overall,raw,rt,0,0
tower_of_london.avg_move_time,task,Average time to take action on correct trials,0.3,ICC,14,19,Lemay et al. (2004),overall,raw,rt,0,0
tower_of_london.num_optimal_solutions,task,Total number of correct responses with optimal solutions,0.6,Pearson,30,162,Lowe and Rabbitt (1998),overall,raw,,0,0
tower_of_london.num_optimal_solutions,task,Total number of correct responses with optimal solutions,0.7,Pearson,42,34,"Schnirman, Welsh and Retzlaff (1998)",overall,raw,,0,0
tower_of_london.num_optimal_solutions,task,Total number of correct responses with optimal solutions,0.66,ICC,3,48,Keefe et al. (2004),overall,raw,,0,0
